section,row,seat,price_usd,selection_type,scraped_at
117,F,5,,,2026-07-21T22:44:54Z
117,F,6,,,2026-07-21T22:44:54Z
117,F,7,,,2026-07-21T22:44:54Z
117,F,8,,,2026-07-21T22:44:54Z
119,E,5,,,2026-07-21T22:44:54Z
119,E,6,,,2026-07-21T22:44:54Z
119,F,5,,,2026-07-21T22:44:54Z
119,F,6,,,2026-07-21T22:44:54Z
119,J,1,,,2026-07-21T22:44:54Z
119,J,2,,,2026-07-21T22:44:54Z
119,J,3,,,2026-07-21T22:44:54Z
119,J,4,,,2026-07-21T22:44:54Z
119,J,5,,,2026-07-21T22:44:54Z
119,J,6,,,2026-07-21T22:44:54Z
119,J,7,,,2026-07-21T22:44:54Z
119,J,8,,,2026-07-21T22:44:54Z
121,P,1,,,2026-07-21T22:44:54Z
121,P,2,,,2026-07-21T22:44:54Z
121,P,3,,,2026-07-21T22:44:54Z
121,P,4,,,2026-07-21T22:44:54Z
121,U,1,,,2026-07-21T22:44:54Z
121,U,2,,,2026-07-21T22:44:54Z
121,U,3,,,2026-07-21T22:44:54Z
121,U,4,,,2026-07-21T22:44:54Z
121,U,5,,,2026-07-21T22:44:54Z
121,U,6,,,2026-07-21T22:44:54Z
124,M,3,,,2026-07-21T22:44:54Z
124,M,4,,,2026-07-21T22:44:54Z
124,M,5,,,2026-07-21T22:44:54Z
124,M,6,,,2026-07-21T22:44:54Z
124,M,7,,,2026-07-21T22:44:54Z
124,M,8,,,2026-07-21T22:44:54Z
125,E,5,,,2026-07-21T22:44:54Z
125,E,6,,,2026-07-21T22:44:54Z
130,P,3,,,2026-07-21T22:44:54Z
130,P,4,,,2026-07-21T22:44:54Z
132,T,5,,,2026-07-21T22:44:54Z
132,T,6,,,2026-07-21T22:44:54Z
132,T,7,,,2026-07-21T22:44:54Z
132,T,8,,,2026-07-21T22:44:54Z
132,V,7,,,2026-07-21T22:44:54Z
132,V,8,,,2026-07-21T22:44:54Z
132,V,9,,,2026-07-21T22:44:54Z
132,V,10,,,2026-07-21T22:44:54Z
133,N,4,,,2026-07-21T22:44:54Z
133,N,5,,,2026-07-21T22:44:54Z
133,N,6,,,2026-07-21T22:44:54Z
133,N,7,,,2026-07-21T22:44:54Z
134,K,5,,,2026-07-21T22:44:54Z
134,K,6,,,2026-07-21T22:44:54Z
135,J,7,,,2026-07-21T22:44:54Z
135,J,8,,,2026-07-21T22:44:54Z
136,J,5,,,2026-07-21T22:44:54Z
136,J,6,,,2026-07-21T22:44:54Z
136,K,5,,,2026-07-21T22:44:54Z
136,K,6,,,2026-07-21T22:44:54Z
138,H,1,,,2026-07-21T22:44:54Z
138,H,2,,,2026-07-21T22:44:54Z
138,H,3,,,2026-07-21T22:44:54Z
138,H,4,,,2026-07-21T22:44:54Z
142,H,1,,,2026-07-21T22:44:54Z
142,H,2,,,2026-07-21T22:44:54Z
143,K,7,,,2026-07-21T22:44:54Z
143,K,8,,,2026-07-21T22:44:54Z
231,CC,7,,,2026-07-21T22:44:54Z
231,CC,8,,,2026-07-21T22:44:54Z
237,HH,5,,,2026-07-21T22:44:54Z
237,HH,6,,,2026-07-21T22:44:54Z
237,HH,7,,,2026-07-21T22:44:54Z
237,HH,8,,,2026-07-21T22:44:54Z
238,AA,1,,,2026-07-21T22:44:54Z
238,AA,2,,,2026-07-21T22:44:54Z
238,AA,3,,,2026-07-21T22:44:54Z
238,AA,4,,,2026-07-21T22:44:54Z
247,AA,18,,,2026-07-21T22:44:54Z
247,AA,19,,,2026-07-21T22:44:54Z
251,BB,6,,,2026-07-21T22:44:54Z
251,BB,7,,,2026-07-21T22:44:54Z
